age,annual_income,employment_years,loan_amount,total_debt,credit_history_years,previous_defaults,employment_type,loan_purpose,payment_history,creditworthy
28,120979.0,5.0,4454.0,22869,0,0,Salaried,Vehicle,Excellent,1
36,52701.0,14.0,22878.0,6039,0,0,Self-employed,Business,Good,0
34,101300.0,13.0,53098.0,22281,16,0,Contract,Education,Average,1
32,101560.0,,14991.0,11442,9,2,Contract,Education,Poor,0
43,61642.0,10.0,4808.0,74788,21,0,Salaried,Personal,Average,0
35,83160.0,6.0,41410.0,28586,9,2,Salaried,Business,Average,0
48,35602.0,8.0,38593.0,54053,20,0,Salaried,Business,Good,1
54,121320.0,25.0,38304.0,51489,14,1,Business,Vehicle,Excellent,1
22,106801.0,4.0,32386.0,84104,4,1,Business,Home,Excellent,1
52,43931.0,4.0,57220.0,87346,21,0,Salaried,Personal,Good,0
43,112377.0,24.0,50077.0,68087,5,2,Salaried,Personal,Average,0
42,47192.0,19.0,5802.0,13625,2,0,Salaried,Personal,Good,1
45,64542.0,27.0,30753.0,35397,12,0,Salaried,Home,Average,1
42,145015.0,9.0,23083.0,59671,15,0,Contract,Home,Good,1
42,60520.0,17.0,20354.0,67897,7,1,Self-employed,Vehicle,Excellent,0
62,82772.0,2.0,24190.0,27149,14,0,Salaried,Personal,Excellent,1
26,68106.0,8.0,8142.0,61030,8,0,Self-employed,Education,Average,0
35,99121.0,10.0,30398.0,70906,16,0,Salaried,Personal,Average,1
63,43559.0,16.0,53971.0,6283,21,0,Contract,Vehicle,Average,0
57,123595.0,29.0,43862.0,8610,25,0,Salaried,Vehicle,Excellent,1
53,51742.0,29.0,35132.0,44326,12,0,Salaried,Education,Poor,0
28,87669.0,10.0,55410.0,15924,10,1,Salaried,Home,Excellent,1
64,88831.0,12.0,21503.0,77162,5,0,Self-employed,Education,Excellent,0
64,130217.0,5.0,50456.0,1869,16,0,Self-employed,Business,Poor,1
25,59873.0,7.0,36631.0,2014,7,0,Business,Personal,Good,1
59,124532.0,26.0,18499.0,11103,13,0,Salaried,Personal,Average,1
24,144267.0,,41852.0,83522,6,1,Salaried,Personal,Excellent,1
26,59755.0,8.0,10016.0,34458,5,2,Salaried,Education,Good,0
65,103956.0,20.0,4384.0,83409,2,0,Self-employed,Vehicle,Poor,0
52,104988.0,18.0,17072.0,24248,13,1,Salaried,Personal,Good,1
50,63648.0,9.0,38703.0,44516,13,1,Self-employed,Home,Average,0
55,143991.0,2.0,47895.0,30061,14,1,Business,Home,Excellent,1
60,133005.0,13.0,16482.0,25170,7,0,Business,Personal,Good,1
36,20396.0,18.0,42510.0,9024,14,2,Salaried,Business,Good,0
33,102082.0,15.0,50933.0,83214,15,0,Salaried,Education,Excellent,1
62,146322.0,4.0,23826.0,86947,12,0,Salaried,Vehicle,Good,1
50,29303.0,28.0,4490.0,44803,16,0,Self-employed,Vehicle,Excellent,1
39,89719.0,4.0,58132.0,20296,20,0,Business,Education,Poor,0
37,117616.0,19.0,48092.0,87664,19,0,Salaried,Home,Good,1
39,142165.0,16.0,27518.0,19257,2,0,Salaried,Home,Excellent,1
48,104231.0,20.0,26045.0,13855,5,0,Business,Vehicle,Good,1
46,25314.0,9.0,52876.0,86178,4,1,Business,Home,Good,0
57,37623.0,4.0,28910.0,21025,21,1,Salaried,Education,Average,0
46,123228.0,3.0,26566.0,5458,25,0,Self-employed,Personal,Poor,1
43,115624.0,5.0,53919.0,64610,16,1,Salaried,Vehicle,Good,0
29,129785.0,11.0,35905.0,71843,11,1,Salaried,Home,Average,0
32,104206.0,3.0,29103.0,84961,14,1,Contract,Personal,Good,0
21,87274.0,3.0,55269.0,50831,1,0,Business,Personal,Excellent,0
21,71947.0,3.0,38188.0,44427,3,0,Business,Personal,Average,0
54,66874.0,6.0,7845.0,39506,14,2,Salaried,Vehicle,Good,0
52,67708.0,17.0,23162.0,6668,4,0,Business,Home,Average,1
45,92553.0,2.0,38674.0,48195,25,0,Salaried,Vehicle,Average,1
60,86344.0,0.0,54789.0,74233,19,0,Salaried,Vehicle,Good,1
65,67138.0,23.0,21337.0,25417,5,0,Self-employed,Personal,Poor,0
21,65638.0,3.0,24313.0,82982,3,0,Salaried,Vehicle,Average,0
36,96249.0,3.0,28943.0,11751,17,0,Business,Personal,Good,1
59,123865.0,5.0,14413.0,47218,17,0,Self-employed,Home,Good,1
25,20719.0,7.0,2276.0,8352,3,1,Salaried,Personal,Good,0
42,60534.0,21.0,53151.0,80052,16,1,Salaried,Personal,Poor,0
49,110241.0,13.0,19611.0,89835,24,0,Salaried,Personal,Average,1
23,144209.0,5.0,41105.0,29927,5,2,Salaried,Education,Excellent,1
32,110124.0,11.0,13944.0,42094,13,0,Self-employed,Business,Good,1
46,109659.0,27.0,54887.0,55122,12,0,Business,Personal,Good,1
36,93713.0,18.0,17906.0,30493,6,1,Salaried,Home,Excellent,1
57,93418.0,30.0,51847.0,74539,11,1,Salaried,Personal,Excellent,1
42,146232.0,19.0,22536.0,32707,22,2,Self-employed,Vehicle,Good,1
49,49575.0,23.0,59053.0,69814,14,0,Business,Vehicle,Good,0
34,81852.0,16.0,58622.0,8296,16,1,Salaried,Personal,Good,1
48,94242.0,3.0,29810.0,26398,10,0,Salaried,Business,Good,1
25,47257.0,7.0,14306.0,36842,7,1,Self-employed,Education,Excellent,0
50,79246.0,29.0,58689.0,14261,11,1,Salaried,Personal,Average,0
25,19435.0,7.0,12503.0,77709,2,0,Salaried,Business,Good,0
32,109357.0,11.0,21225.0,57704,14,0,Business,Business,Excellent,1
36,101807.0,9.0,38976.0,68173,2,1,Self-employed,Vehicle,Good,0
46,133953.0,28.0,13590.0,32781,18,0,Self-employed,Vehicle,Good,1
46,141797.0,21.0,59885.0,14652,19,0,Business,Home,Excellent,1
41,81888.0,23.0,12886.0,6103,3,1,Self-employed,Vehicle,Excellent,1
59,91609.0,6.0,14866.0,26500,2,0,Salaried,Education,Excellent,0
56,27077.0,2.0,3088.0,36529,25,1,Salaried,Home,Average,0
53,38953.0,22.0,5363.0,19452,15,0,Salaried,Education,Average,1
50,132682.0,27.0,34792.0,50393,11,0,Salaried,Personal,Average,1
57,85889.0,13.0,,32174,7,1,Self-employed,Education,Average,0
43,133374.0,23.0,57296.0,65450,23,0,Business,Education,Average,1
30,42860.0,9.0,56820.0,36436,12,0,Contract,Home,Good,0
25,95475.0,7.0,22620.0,48406,6,1,Self-employed,Education,Good,0
56,105266.0,15.0,44727.0,64059,10,0,Salaried,Personal,Excellent,1
54,118732.0,21.0,14935.0,16954,17,0,Salaried,Personal,Good,1
51,45083.0,30.0,10068.0,83722,0,0,Business,Education,,0
30,75372.0,9.0,53387.0,13356,2,1,Self-employed,Vehicle,Good,0
39,141786.0,21.0,9295.0,3187,3,1,Self-employed,Business,Good,1
52,25813.0,12.0,43160.0,78243,12,1,Business,Vehicle,Good,0
21,49598.0,3.0,13390.0,36098,3,0,Business,Education,Good,0
25,111106.0,7.0,43216.0,22225,7,1,Business,Vehicle,Average,0
65,45082.0,8.0,22131.0,4606,13,0,Salaried,Home,Average,1
24,47241.0,6.0,31218.0,58620,4,0,Business,Home,Good,0
36,29745.0,3.0,12433.0,33828,15,0,Business,Education,Average,0
44,44029.0,23.0,17038.0,27489,14,1,Salaried,Vehicle,Good,0
36,141395.0,10.0,54327.0,15387,14,1,Self-employed,Education,Average,0
22,107186.0,4.0,30182.0,70463,3,0,Salaried,Home,Good,0
48,115768.0,17.0,13528.0,72832,7,0,Contract,Home,Good,1
52,59846.0,25.0,23281.0,3591,15,1,Salaried,Vehicle,Good,1
47,93932.0,10.0,56189.0,49516,15,0,Self-employed,Personal,Average,0
40,41411.0,22.0,50511.0,63061,3,2,Salaried,Education,Poor,0
44,96797.0,20.0,58579.0,67736,12,0,Business,Personal,Excellent,1
32,70307.0,3.0,10605.0,82257,14,0,Salaried,Personal,Excellent,1
55,40042.0,17.0,36782.0,62753,12,0,Salaried,Personal,Poor,0
53,70930.0,0.0,3381.0,85774,1,0,Salaried,Education,Good,0
53,115883.0,26.0,3098.0,12087,2,2,Contract,Vehicle,Good,0
63,51756.0,6.0,21810.0,31816,21,0,Salaried,Education,Good,1
57,71268.0,5.0,54807.0,24408,7,1,,Vehicle,Excellent,0
32,66901.0,14.0,26322.0,1136,14,0,Business,Home,Average,1
23,117986.0,5.0,43869.0,18413,5,0,Self-employed,Education,Average,1
21,146386.0,3.0,34955.0,60500,3,0,,Education,Good,0
53,23626.0,23.0,46716.0,85514,8,0,Salaried,Personal,Good,0
60,30857.0,10.0,12207.0,57358,6,2,Self-employed,Home,Average,0
30,44431.0,12.0,23793.0,67197,12,0,Salaried,Vehicle,Excellent,0
63,102976.0,23.0,4092.0,33854,1,0,Salaried,Home,Average,1
64,100711.0,14.0,30220.0,77240,7,0,Self-employed,Personal,Good,1
49,44385.0,15.0,20514.0,17322,6,0,Self-employed,Vehicle,Good,0
33,36639.0,6.0,40010.0,7968,15,0,Business,Personal,Poor,0
32,103530.0,14.0,10549.0,28518,11,1,Salaried,Vehicle,Average,0
51,39563.0,9.0,24031.0,52925,18,0,Salaried,Personal,Good,0
22,133672.0,4.0,7185.0,60848,4,0,Salaried,Education,Average,0
55,100970.0,11.0,17271.0,2700,9,0,Contract,Vehicle,Good,1
43,103553.0,23.0,7776.0,24199,24,3,Salaried,Education,Good,1
37,100879.0,13.0,14449.0,45589,15,0,Salaried,Personal,Poor,1
46,62859.0,24.0,26297.0,33115,2,0,Salaried,Vehicle,Average,0
28,70098.0,4.0,58699.0,62934,9,0,Self-employed,Education,Good,0
49,140413.0,25.0,42591.0,55316,5,0,Salaried,Education,Good,1
46,18526.0,20.0,17717.0,6520,17,0,Contract,Personal,Excellent,1
30,86760.0,12.0,42123.0,37455,12,0,Salaried,Vehicle,,1
46,65837.0,4.0,41233.0,87465,4,1,Business,Business,Good,0
54,29536.0,2.0,47505.0,42605,20,0,Salaried,Personal,Average,0
61,46541.0,22.0,52649.0,15955,6,1,Self-employed,Personal,Good,0
27,97083.0,9.0,48092.0,45049,1,0,,Business,Average,0
24,52531.0,4.0,12350.0,14917,6,0,Salaried,Home,Excellent,1
65,26712.0,23.0,32622.0,71293,12,0,Contract,Education,Good,0
31,122101.0,13.0,37323.0,79581,13,0,Salaried,Vehicle,Excellent,1
49,83455.0,18.0,56561.0,65925,4,1,Contract,Vehicle,Good,0
56,92744.0,18.0,4951.0,71269,5,0,Self-employed,Vehicle,Excellent,0
45,147749.0,24.0,19622.0,31954,23,0,Salaried,Personal,Poor,1
41,23109.0,20.0,6727.0,73617,23,0,Salaried,Home,Excellent,0
56,67268.0,11.0,55117.0,42458,13,3,Salaried,Personal,Poor,0
30,72615.0,12.0,40454.0,22113,11,0,Salaried,Education,Good,1
57,100503.0,28.0,38469.0,44939,3,2,Salaried,Education,Poor,0
29,103708.0,8.0,37548.0,30345,11,0,,Vehicle,Good,1
44,120471.0,0.0,25782.0,47313,5,0,Salaried,Home,Poor,0
55,101309.0,17.0,52740.0,70166,9,0,Business,Vehicle,Excellent,1
55,144446.0,20.0,30454.0,48861,17,0,Salaried,Personal,Average,1
56,124661.0,3.0,4368.0,50298,14,0,Salaried,Personal,Poor,0
38,24154.0,20.0,17592.0,48221,7,0,Self-employed,Home,Excellent,0
59,82288.0,9.0,24173.0,45942,25,2,Salaried,Education,Excellent,1
52,69195.0,24.0,35204.0,4453,8,1,Salaried,Home,Good,1
44,38581.0,6.0,37596.0,55935,4,1,Salaried,Business,Poor,0
43,48087.0,21.0,36324.0,44370,9,0,Contract,Vehicle,Good,0
52,87298.0,22.0,58722.0,9328,19,0,Business,Personal,Good,1
57,64167.0,0.0,48132.0,16534,5,0,Salaried,Education,Excellent,1
32,57499.0,14.0,25864.0,86280,14,1,Self-employed,Business,Excellent,0
33,143816.0,15.0,49829.0,85925,15,2,Self-employed,Education,Average,0
43,114347.0,25.0,32750.0,37320,2,0,Self-employed,Home,Excellent,1
45,66787.0,27.0,12576.0,50170,9,0,Self-employed,Personal,Good,1
55,53488.0,1.0,18566.0,81201,10,0,Self-employed,Business,Poor,0
61,92441.0,27.0,9190.0,9640,10,0,Salaried,Home,Excellent,1
50,40431.0,25.0,25071.0,31049,16,0,Salaried,Education,Average,1
37,79681.0,10.0,40333.0,6618,3,0,Salaried,Business,Excellent,1
40,140720.0,8.0,,57053,3,1,Business,Home,Good,0
45,67153.0,6.0,17369.0,2920,16,0,Self-employed,Home,Excellent,1
42,24368.0,21.0,26035.0,44937,8,0,Business,Personal,Average,0
33,130360.0,15.0,56727.0,70724,15,3,Contract,Vehicle,Good,0
39,130755.0,16.0,3589.0,13207,4,0,Salaried,Personal,Good,1
56,74985.0,1.0,27235.0,66774,21,0,Self-employed,Business,Good,1
32,68069.0,5.0,2159.0,33972,14,0,Self-employed,Personal,Excellent,1
61,70326.0,13.0,14145.0,11799,5,0,Contract,Home,Average,0
39,126737.0,5.0,17373.0,72088,2,0,Contract,Business,Good,1
32,68861.0,1.0,33921.0,29916,14,1,Self-employed,Personal,Average,0
29,93897.0,0.0,41323.0,71463,0,0,Salaried,Education,Excellent,0
27,145118.0,9.0,18237.0,77700,9,0,Business,Personal,Average,1
48,86577.0,20.0,43971.0,38158,21,0,Salaried,Education,Excellent,1
34,27078.0,4.0,10244.0,85607,15,0,Business,Home,Good,0
51,80768.0,1.0,16743.0,72696,22,1,Contract,Home,Excellent,1
39,69047.0,21.0,33566.0,62510,10,1,Salaried,Personal,Average,0
36,89626.0,15.0,48101.0,59692,12,0,Self-employed,Vehicle,Good,1
25,75660.0,7.0,48109.0,62744,7,1,Salaried,Personal,Average,0
55,135832.0,1.0,57998.0,16810,2,0,Salaried,Business,,0
32,148406.0,9.0,20691.0,6126,8,3,Salaried,Education,Excellent,0
45,143150.0,1.0,35996.0,31009,11,0,Business,Education,Good,1
41,51320.0,15.0,58378.0,1192,22,3,Contract,Home,Excellent,0
56,82881.0,15.0,7590.0,37413,13,1,Contract,Home,Good,0
43,108827.0,18.0,58071.0,13816,0,0,Salaried,Education,Average,0
36,120215.0,18.0,7585.0,40082,17,0,Business,Vehicle,Average,1
59,79550.0,6.0,11227.0,66048,16,3,Business,Business,Good,0
65,42826.0,21.0,30278.0,51940,8,1,Salaried,Business,Good,0
62,118734.0,11.0,40814.0,33130,8,0,Salaried,Education,Good,1
59,116511.0,23.0,14237.0,41142,22,1,Salaried,Business,Excellent,1
34,29653.0,14.0,17649.0,37468,9,0,,Education,Average,0
51,99941.0,7.0,39713.0,31698,18,0,Self-employed,Home,Good,1
25,51662.0,5.0,9927.0,11655,7,0,Business,Vehicle,Average,0
55,116818.0,27.0,47409.0,48897,4,0,Salaried,Personal,Excellent,1
43,113081.0,,50766.0,31075,14,1,Business,Home,Good,1
49,54877.0,9.0,48154.0,10359,19,0,Salaried,Personal,Good,1
63,129562.0,2.0,9016.0,43056,22,1,Salaried,Education,Excellent,1
31,90715.0,13.0,16027.0,52831,13,0,Self-employed,Vehicle,Good,1
38,128091.0,20.0,50688.0,60191,1,0,Salaried,Personal,Average,0
32,97148.0,14.0,26142.0,34272,12,0,Business,Business,Average,1
29,101186.0,6.0,48520.0,15671,11,0,Salaried,Home,Good,1
30,141629.0,12.0,56238.0,28048,12,0,Self-employed,Education,Good,1
64,88316.0,19.0,25545.0,77274,14,0,Salaried,Personal,Excellent,1
37,46380.0,19.0,53036.0,26963,19,0,Self-employed,Personal,Average,0
58,128198.0,30.0,33897.0,44954,9,0,Salaried,Education,Excellent,1
27,20356.0,3.0,52961.0,73309,9,0,Salaried,Vehicle,Poor,0
33,88326.0,13.0,5167.0,1717,9,0,Contract,Vehicle,Good,1
60,110447.0,19.0,46757.0,12676,24,1,Salaried,Business,Good,1
62,132994.0,21.0,28917.0,5434,13,2,Business,Vehicle,Poor,1
29,38049.0,11.0,24736.0,50810,11,0,Contract,Vehicle,Excellent,0
47,123361.0,23.0,29990.0,5994,22,0,Salaried,Personal,Good,1
22,34082.0,4.0,16087.0,5234,4,0,Salaried,Vehicle,Good,0
25,18661.0,7.0,24440.0,70300,7,2,Self-employed,Education,Excellent,0
49,20920.0,14.0,37205.0,44949,13,0,Contract,Personal,Good,0
57,97561.0,21.0,57620.0,38405,2,0,Contract,Education,Average,0
58,26946.0,19.0,17275.0,35872,19,0,Self-employed,Personal,Average,0
39,34309.0,21.0,57103.0,43215,15,0,Business,Education,Excellent,0
28,73230.0,10.0,7276.0,24185,1,0,Salaried,Business,Poor,1
65,129822.0,26.0,43627.0,44442,9,1,Contract,Education,Excellent,1
21,130340.0,3.0,,52759,2,0,Contract,Home,Excellent,1
42,77321.0,8.0,39496.0,42153,10,0,Salaried,Personal,Good,1
37,92131.0,7.0,21008.0,78535,10,0,Salaried,Home,Excellent,1
27,43963.0,9.0,7738.0,3581,9,0,Salaried,Home,Excellent,1
45,119757.0,27.0,34402.0,52717,20,2,Salaried,Home,Poor,1
65,117259.0,25.0,55384.0,3763,21,0,Business,Personal,Good,1
24,57063.0,6.0,7793.0,56480,6,1,Salaried,Personal,Excellent,0
56,132225.0,30.0,39291.0,39759,6,0,Salaried,Vehicle,Excellent,1
26,134400.0,1.0,7571.0,77067,8,0,Salaried,Vehicle,Average,0
51,98818.0,24.0,33331.0,26307,16,2,Contract,Personal,Average,0
39,22703.0,21.0,18209.0,12064,1,0,Self-employed,Education,Good,0
64,90099.0,29.0,50014.0,77848,11,1,Salaried,Education,Excellent,1
59,49585.0,2.0,27394.0,38548,24,0,Salaried,Vehicle,Excellent,1
47,61585.0,7.0,45148.0,37945,9,1,Contract,Home,,0
30,44958.0,11.0,27682.0,48937,12,0,Business,Home,Excellent,1
46,44017.0,,4224.0,7476,21,0,Salaried,Vehicle,Good,1
39,142677.0,9.0,,52756,10,1,Salaried,Personal,Excellent,1
59,47426.0,19.0,50695.0,3382,15,2,Salaried,Home,Good,0
23,35778.0,2.0,57243.0,50683,5,2,Salaried,Education,Good,0
65,60229.0,5.0,46452.0,88999,18,1,Self-employed,Business,Poor,0
33,104652.0,6.0,45408.0,46276,15,1,Contract,Vehicle,Poor,0
48,146267.0,19.0,34441.0,34402,2,0,Salaried,Vehicle,Good,1
40,144503.0,22.0,43430.0,27946,20,0,Business,Personal,Good,1
48,102878.0,24.0,41129.0,80698,25,0,Salaried,Personal,Good,1
28,,10.0,36716.0,74933,10,0,Business,Business,Good,0
61,37975.0,17.0,46859.0,23335,5,0,Business,Business,Average,0
59,106397.0,10.0,28586.0,46095,24,0,Salaried,Home,Good,1
21,51142.0,3.0,46760.0,80930,3,0,Salaried,Vehicle,Average,0
23,44916.0,4.0,25478.0,28197,5,0,Self-employed,Home,Poor,0
33,82324.0,15.0,8318.0,23010,14,0,Salaried,Home,Good,1
48,143932.0,10.0,30694.0,25123,14,0,Salaried,Personal,Good,1
45,114059.0,23.0,22180.0,88923,15,0,Self-employed,Personal,Excellent,1
53,116317.0,11.0,14180.0,3890,9,1,Contract,Business,Excellent,1
58,53046.0,9.0,35002.0,9026,11,1,Salaried,Home,Good,0
26,119459.0,7.0,17372.0,65925,8,0,Business,Personal,Excellent,1
64,63893.0,23.0,31796.0,69842,3,0,Salaried,Business,Average,0
65,119520.0,27.0,54759.0,34665,6,0,Business,Business,Excellent,1
52,143818.0,27.0,26427.0,10277,21,0,Self-employed,Home,Good,1
65,79272.0,8.0,35290.0,43239,1,0,Business,Education,Good,1
41,85649.0,3.0,57056.0,48664,23,0,Salaried,Personal,Average,1
36,82674.0,4.0,30099.0,49008,14,0,Self-employed,Home,Good,1
41,104475.0,20.0,47486.0,15683,7,0,Self-employed,Business,Average,0
31,79367.0,7.0,56040.0,1670,6,2,Salaried,Business,Good,0
57,139750.0,22.0,11821.0,18889,14,2,Salaried,Home,Good,1
56,136154.0,8.0,7832.0,56612,22,0,Salaried,Home,Excellent,1
55,62738.0,14.0,14820.0,45535,13,0,Salaried,Home,Good,0
39,51397.0,14.0,18211.0,79542,7,0,Business,Business,Average,0
40,100189.0,15.0,,55319,11,0,Salaried,Home,Good,1
38,94367.0,13.0,7842.0,22639,12,2,Salaried,Personal,Average,1
61,138585.0,7.0,3316.0,65712,10,0,Business,Personal,Good,1
34,94619.0,16.0,,17633,16,1,Salaried,Personal,Excellent,1
35,129453.0,9.0,19508.0,35660,16,0,Self-employed,Home,Excellent,1
51,37816.0,27.0,24005.0,69975,23,3,Salaried,Education,Good,0
21,97530.0,3.0,56575.0,33172,3,0,Contract,Business,Average,0
23,126856.0,5.0,17206.0,60197,5,1,Business,Business,Average,0
36,89635.0,,20971.0,59847,7,0,Business,Vehicle,Good,0
43,125803.0,1.0,27599.0,12577,4,0,Salaried,Home,,1
31,53946.0,6.0,24056.0,78299,13,0,Business,Education,Good,0
32,73204.0,14.0,3378.0,21176,14,0,Salaried,Personal,Good,1
30,33563.0,2.0,54526.0,45386,3,2,Salaried,Education,Excellent,0
52,110324.0,12.0,3519.0,64972,21,2,Salaried,Business,Excellent,1
36,27847.0,2.0,24161.0,42003,14,1,Self-employed,Personal,Excellent,0
28,44155.0,10.0,42703.0,20996,10,0,Salaried,Home,Excellent,0
58,97671.0,17.0,40861.0,87598,4,1,Self-employed,Business,Excellent,0
32,134891.0,10.0,59570.0,36931,14,0,Salaried,Business,Excellent,1
44,101310.0,7.0,7355.0,36710,15,0,,Home,Good,1
48,149691.0,5.0,56120.0,35693,13,0,Business,Personal,Good,1
28,52707.0,0.0,11083.0,36740,9,0,Salaried,Education,Poor,0
48,99537.0,27.0,40342.0,78241,6,0,Business,Personal,Excellent,1
56,109155.0,0.0,22456.0,77502,12,0,Salaried,Home,Good,0
46,18281.0,22.0,15324.0,18374,19,0,Business,Personal,Good,0
28,94260.0,7.0,4257.0,77674,4,1,Self-employed,Business,Excellent,0
48,82178.0,4.0,29364.0,82471,2,0,Salaried,Personal,Average,0
48,51997.0,27.0,26972.0,46913,14,0,Salaried,Home,Excellent,1
57,137273.0,15.0,48179.0,67025,3,0,Self-employed,Personal,Poor,0
61,144945.0,10.0,28654.0,45516,14,0,Business,Education,Average,1
56,63272.0,4.0,17233.0,88796,13,0,Salaried,Vehicle,Good,0
47,107393.0,3.0,17887.0,27069,19,0,Salaried,Personal,Good,1
37,79212.0,19.0,31320.0,57233,18,0,Business,Home,Average,1
29,138030.0,5.0,22808.0,85811,11,0,Self-employed,Home,Good,1
53,74503.0,13.0,,60049,9,0,Salaried,Vehicle,Good,1
40,24570.0,21.0,32154.0,40178,20,1,Salaried,Education,Excellent,0
33,86785.0,15.0,55045.0,33821,4,0,Salaried,Vehicle,Excellent,0
48,27110.0,8.0,36773.0,52727,22,0,Self-employed,Home,Good,0
49,97141.0,11.0,53168.0,61935,19,1,Salaried,Education,Good,0
33,30115.0,10.0,29747.0,17999,15,0,Contract,Personal,Average,0
55,57062.0,13.0,12860.0,63522,24,0,Salaried,Business,Excellent,1
26,40911.0,8.0,44838.0,39712,5,1,Salaried,Business,Average,0
38,122061.0,15.0,44156.0,65551,3,0,Self-employed,Home,Excellent,1
25,50556.0,0.0,20156.0,41172,1,0,Contract,Education,Good,0
45,146335.0,27.0,59505.0,34722,21,0,Business,Home,Good,1
22,19969.0,4.0,22360.0,11625,4,0,Salaried,Personal,Good,0
30,61753.0,12.0,20135.0,68165,12,0,Business,Personal,Excellent,1
50,139863.0,20.0,27351.0,77509,4,0,Self-employed,Business,Good,1
65,28225.0,20.0,58582.0,7859,21,0,Salaried,Business,Average,0
25,141008.0,7.0,32499.0,42609,3,0,Salaried,Personal,,1
53,123823.0,12.0,49377.0,44307,12,0,Salaried,Personal,Good,1
21,31669.0,1.0,25554.0,22839,3,0,Salaried,Business,Average,0
38,142398.0,3.0,57621.0,28216,20,0,Contract,Vehicle,Average,1
52,128677.0,27.0,51131.0,53953,1,0,Salaried,Home,Good,1
31,66320.0,5.0,,85481,12,0,Contract,Education,Good,0
41,143354.0,23.0,18923.0,61593,10,2,Self-employed,Personal,Average,0
46,106009.0,28.0,49591.0,73075,21,0,Self-employed,Education,Good,1
45,46625.0,26.0,52613.0,50522,3,0,Self-employed,Home,Excellent,0
42,42089.0,22.0,56336.0,5886,21,0,Salaried,Home,Good,1
47,54487.0,26.0,10547.0,8485,19,0,Salaried,Personal,Average,1
33,128448.0,4.0,46283.0,32455,15,2,Salaried,Education,Excellent,1
53,68138.0,24.0,35002.0,17767,14,0,Self-employed,Home,Poor,1
54,72061.0,2.0,16562.0,29453,3,2,Salaried,Education,Excellent,0
61,119376.0,0.0,52700.0,77280,8,0,Business,Vehicle,Average,0
55,97134.0,3.0,9480.0,54442,6,1,Salaried,Vehicle,Good,0
21,65055.0,3.0,28672.0,52877,3,0,Salaried,Personal,Good,0
41,37508.0,19.0,6213.0,13226,18,1,Salaried,Personal,Average,1
26,128169.0,1.0,12293.0,23588,5,0,Contract,Business,Good,1
48,26125.0,25.0,36441.0,79976,5,0,Business,Home,Good,0
37,54059.0,19.0,57860.0,32709,19,0,Salaried,Home,Excellent,0
25,121409.0,7.0,59134.0,48788,7,0,Self-employed,Education,Excellent,1
51,23704.0,4.0,4100.0,89031,14,2,Salaried,Home,Excellent,0
25,,2.0,46617.0,38019,7,0,Contract,Education,Average,0
58,136516.0,28.0,30172.0,45948,19,0,Self-employed,Business,Excellent,1
23,132044.0,5.0,22132.0,66133,5,1,Salaried,Personal,Excellent,1
43,47165.0,25.0,54325.0,67458,3,0,Self-employed,Personal,Good,0
57,85203.0,8.0,20199.0,28526,17,2,Salaried,Business,,1
57,22114.0,19.0,38609.0,74493,17,1,Contract,Home,Average,0
30,54321.0,5.0,44965.0,53198,4,0,Salaried,Home,Excellent,0
30,91297.0,12.0,10016.0,44395,12,1,Self-employed,Personal,Excellent,1
39,114652.0,5.0,41779.0,25031,21,0,Salaried,Personal,Poor,1
37,117304.0,18.0,39261.0,76542,10,0,Business,Home,Good,1
41,35772.0,23.0,33881.0,38701,4,0,Business,Personal,Average,0
34,121754.0,11.0,19058.0,26939,16,0,Self-employed,Personal,Average,1
29,21712.0,11.0,26472.0,50145,11,1,Self-employed,Vehicle,Average,0
21,133142.0,3.0,43346.0,21324,3,2,Business,Personal,Excellent,0
65,109736.0,1.0,36926.0,23867,11,0,Salaried,Education,Average,1
33,69924.0,14.0,53813.0,1203,1,0,Salaried,Home,Average,0
24,21726.0,6.0,36832.0,17544,6,2,Salaried,Personal,Good,0
21,107152.0,3.0,38021.0,16899,3,0,Contract,Home,Good,0
60,45723.0,8.0,56131.0,30063,8,0,Salaried,Business,Good,0
52,144969.0,20.0,26087.0,4748,9,0,Business,Personal,Excellent,1
54,118494.0,23.0,14828.0,67629,6,2,Self-employed,Education,Good,0
48,53643.0,1.0,33128.0,81764,3,0,Salaried,Vehicle,Good,0
51,121896.0,21.0,3401.0,21884,18,1,Salaried,Personal,Good,1
28,111680.0,2.0,21643.0,26183,9,1,Salaried,Education,Good,1
59,114546.0,11.0,17193.0,82570,2,0,Salaried,Vehicle,Good,1
46,97973.0,27.0,28853.0,72246,24,0,Salaried,Vehicle,Good,1
54,81449.0,29.0,46864.0,20259,20,1,Salaried,Personal,Poor,0
23,127834.0,5.0,22307.0,36959,5,0,Business,Home,Excellent,1
32,43537.0,14.0,38982.0,34457,14,1,Contract,Personal,Good,0
21,95576.0,3.0,21611.0,86679,1,2,Salaried,Vehicle,Excellent,0
64,125522.0,27.0,45791.0,3103,19,0,Salaried,Home,Good,1
25,40612.0,7.0,13950.0,66901,7,1,Salaried,Education,Average,0
50,24471.0,25.0,12704.0,45535,1,1,Self-employed,Business,Poor,0
50,49348.0,29.0,45111.0,17103,1,1,Business,Home,Good,0
37,19177.0,0.0,13867.0,79278,19,0,,Vehicle,Poor,0
43,50779.0,20.0,4745.0,13391,16,0,Salaried,Personal,Excellent,1
